participant,iac_experience,platform_experience,pattern,time_secs,component_correctness,difficulty
1,3.0,3.0,Azure VM-based,450.0,1.0,2.0
1,3.0,3.0,Azure Container-based,275.0,1.0,2.0
1,3.0,3.0,Azure Serverless-based,509.0,1.0,2.0
2,4.0,4.0,Azure VM-based,67.0,1.0,1.0
2,4.0,4.0,Azure Container-based,53.0,1.0,1.0
2,4.0,4.0,Azure Serverless-based,94.0,1.0,1.0
3,4.0,4.0,Azure VM-based,379.0,0.5,3.0
3,4.0,4.0,Azure Container-based,843.0,0.5,3.0
3,4.0,4.0,Azure Serverless-based,196.0,0.5,3.0
4,4.0,5.0,Azure VM-based,181.0,0.75,2.0
4,4.0,5.0,Azure Container-based,306.0,0.75,3.0
4,4.0,5.0,Azure Serverless-based,164.0,0.75,2.0
5,3.0,5.0,Azure VM-based,670.0,1.0,3.0
5,3.0,5.0,Azure Container-based,201.0,1.0,2.0
5,3.0,5.0,Azure Serverless-based,139.0,1.0,2.0
6,1.0,3.0,Azure VM-based,216.0,0.5,4.0
6,1.0,3.0,Azure Container-based,151.0,0.5,4.0
6,1.0,3.0,Azure Serverless-based,252.0,0.25,3.0
7,4.0,4.0,Azure VM-based,397.0,0.5,2.0
7,4.0,4.0,Azure Container-based,323.0,0.5,3.0
7,4.0,4.0,Azure Serverless-based,696.0,0.25,4.0
8,3.0,3.0,Azure VM-based,142.0,0.5,1.0
8,3.0,3.0,Azure Container-based,285.0,0.5,2.0
8,3.0,3.0,Azure Serverless-based,1077.0,0.75,3.0
9,2.0,5.0,Azure VM-based,415.0,0.5,2.0
9,2.0,5.0,Azure Container-based,1280.0,0.5,4.0
9,2.0,5.0,Azure Serverless-based,168.0,0.5,1.0
10,5.0,5.0,Azure VM-based,77.0,1.0,1.0
10,5.0,5.0,Azure Container-based,291.0,1.0,1.0
10,5.0,5.0,Azure Serverless-based,122.0,1.0,1.0
11,3.0,4.0,Azure VM-based,745.0,1.0,2.0
11,3.0,4.0,Azure Container-based,184.0,1.0,2.0
11,3.0,4.0,Azure Serverless-based,217.0,0.5,2.0
12,1.0,2.0,Azure VM-based,721.0,0.5,4.0
12,1.0,2.0,Azure Container-based,187.0,0.75,1.0
12,1.0,2.0,Azure Serverless-based,955.0,0.5,4.0
13,1.0,4.0,Azure VM-based,263.0,0.75,1.0
13,1.0,4.0,Azure Container-based,118.0,0.75,1.0
13,1.0,4.0,Azure Serverless-based,590.0,0.75,2.0
14,4.0,4.0,Azure VM-based,258.0,1.0,1.0
14,4.0,4.0,Azure Container-based,421.0,1.0,1.0
14,4.0,4.0,Azure Serverless-based,688.0,1.0,1.0
15,1.0,4.0,Azure VM-based,152.0,0.25,3.0
15,1.0,4.0,Azure Container-based,793.0,0.0,5.0
15,1.0,4.0,Azure Serverless-based,26.0,0.25,1.0
16,1.0,2.0,Azure VM-based,565.0,0.25,3.0
16,1.0,2.0,Azure Container-based,945.0,0.25,4.0
